code,name
1950.T,Nippon Densetsu Kogyo Co., Ltd.
1951.T,EXEO Group, Inc.
1952.T,Shin Nippon Air Technologies Co., Ltd.
1959.T,Kyudenko Corporation
1960.T,Sanyo Engineering & Construction Inc.
1961.T,Sanki Engineering Co., Ltd.
1963.T,JGC Holdings Corporation
1964.T,Chugai Ro Co., Ltd.
1965.T,Techno Ryowa Ltd.
1966.T,Takada Corporation
1967.T,Yamato Corporation
1968.T,Taihei Dengyo Kaisha, Ltd.
1969.T,Takasago Thermal Engineering Co., Ltd.
1972.T,Sanko Metal Industrial Co., Ltd.
1973.T,NEC Networks & System Integration Corporation
1975.T,Asahi Kogyosha Co., Ltd.
1976.T,MEISEI INDUSTRIAL Co.,Ltd.
1979.T,Taikisha Ltd.
1980.T,Dai-Dan Co., Ltd.
1981.T,Kyowanissei Co.,Ltd.
1982.T,Hibiya Engineering, Ltd.
1992.T,Kanda Tsushinki Co., Ltd.
1994.T,Takahashi Curtain Wall Corporation
1997.T,Akatsuki Eazima Co., Ltd.
2001.T,Nippn Corporation
2002.T,Nisshin Seifun Group Inc.
2003.T,Nitto Fuji Flour Milling Co.,Ltd.
2004.T,Showa Sangyo Co., Ltd.
